@id,@type,dc:date,@context,dc:title,owl:sameAs,odpt:railway,odpt:operator,odpt:stationTitle,odpt:connectingRailway,odpt:stationCode,odpt:passengerSurvey,geo:lat,geo:long,odpt:stationTimetable,cdName,cdNum
urn:ucode:_00001C000000000000010000031027F1,odpt:Station,2020-05-07T09:00:00+09:00,http://vocab.odpt.org/context_odpt.jsonld,東京,odpt.Station:JR-East.ChuoRapid.Tokyo,odpt.Railway:JR-East.ChuoRapid,odpt.Operator:JR-East,"{'en': 'Tokyo', 'ja': '東京'}","['odpt.Railway:JR-East.AkitaShinkansen', 'odpt.Railway:JR-East.HokurikuShinkansen', 'odpt.Railway:JR-East.JobanRapid', 'odpt.Railway:JR-East.JoetsuShinkansen', 'odpt.Railway:JR-East.KeihinTohokuNegishi', 'odpt.Railway:JR-East.Keiyo', 'odpt.Railway:JR-East.SobuRapid', 'odpt.Railway:JR-East.Takasaki', 'odpt.Railway:JR-East.TohokuShinkansen', 'odpt.Railway:JR-East.Tokaido', 'odpt.Railway:JR-East.Utsunomiya', 'odpt.Railway:JR-East.YamagataShinkansen', 'odpt.Railway:JR-East.Yamanote', 'odpt.Railway:JR-East.Yokosuka', 'odpt.Railway:TokyoMetro.Marunouchi']",JC001,['odpt.PassengerSurvey:JR-East.Tokyo'],35.6813,139.76703999999998,"['odpt.StationTimetable:JR-East.ChuoRapid.Tokyo.Outbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Tokyo.Outbound.SaturdayHoliday']",JC,1
urn:ucode:_00001C000000000000010000031027F2,odpt:Station,2020-05-07T09:00:00+09:00,http://vocab.odpt.org/context_odpt.jsonld,神田,odpt.Station:JR-East.ChuoRapid.Kanda,odpt.Railway:JR-East.ChuoRapid,odpt.Operator:JR-East,"{'en': 'Kanda', 'ja': '神田'}","['odpt.Railway:JR-East.KeihinTohokuNegishi', 'odpt.Railway:JR-East.Yamanote', 'odpt.Railway:TokyoMetro.Ginza']",JC002,['odpt.PassengerSurvey:JR-East.Kanda'],35.69157,139.77065,"['odpt.StationTimetable:JR-East.ChuoRapid.Kanda.Inbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Kanda.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.ChuoRapid.Kanda.Outbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Kanda.Outbound.SaturdayHoliday']",JC,2
urn:ucode:_00001C000000000000010000031027F3,odpt:Station,2020-05-07T09:00:00+09:00,http://vocab.odpt.org/context_odpt.jsonld,御茶ノ水,odpt.Station:JR-East.ChuoRapid.Ochanomizu,odpt.Railway:JR-East.ChuoRapid,odpt.Operator:JR-East,"{'en': 'Ochanomizu', 'ja': '御茶ノ水'}","['odpt.Railway:JR-East.ChuoSobuLocal', 'odpt.Railway:TokyoMetro.Marunouchi']",JC003,['odpt.PassengerSurvey:JR-East.Ochanomizu'],35.69935,139.7651,"['odpt.StationTimetable:JR-East.ChuoRapid.Ochanomizu.Inbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Ochanomizu.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.ChuoRapid.Ochanomizu.Outbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Ochanomizu.Outbound.SaturdayHoliday']",JC,3
urn:ucode:_00001C000000000000010000031027F4,odpt:Station,2020-05-07T09:00:00+09:00,http://vocab.odpt.org/context_odpt.jsonld,四ツ谷,odpt.Station:JR-East.ChuoRapid.Yotsuya,odpt.Railway:JR-East.ChuoRapid,odpt.Operator:JR-East,"{'en': 'Yotsuya', 'ja': '四ツ谷'}","['odpt.Railway:JR-East.ChuoSobuLocal', 'odpt.Railway:TokyoMetro.Marunouchi', 'odpt.Railway:TokyoMetro.Namboku']",JC004,['odpt.PassengerSurvey:JR-East.Yotsuya'],35.6849,139.73038,"['odpt.StationTimetable:JR-East.ChuoRapid.Yotsuya.Inbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Yotsuya.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.ChuoRapid.Yotsuya.Outbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Yotsuya.Outbound.SaturdayHoliday']",JC,4
urn:ucode:_00001C000000000000010000031027F5,odpt:Station,2020-05-07T09:00:00+09:00,http://vocab.odpt.org/context_odpt.jsonld,新宿,odpt.Station:JR-East.ChuoRapid.Shinjuku,odpt.Railway:JR-East.ChuoRapid,odpt.Operator:JR-East,"{'en': 'Shinjuku', 'ja': '新宿'}","['odpt.Railway:JR-East.ChuoSobuLocal', 'odpt.Railway:JR-East.SaikyoKawagoe', 'odpt.Railway:JR-East.ShonanShinjuku', 'odpt.Railway:JR-East.Yamanote', 'odpt.Railway:Keio.Keio', 'odpt.Railway:Keio.KeioNew', 'odpt.Railway:Odakyu.Odawara', 'odpt.Railway:Seibu.Shinjuku', 'odpt.Railway:Toei.Oedo', 'odpt.Railway:Toei.Shinjuku', 'odpt.Railway:TokyoMetro.Marunouchi']",JC005,['odpt.PassengerSurvey:JR-East.Shinjuku'],35.69018,139.70038,"['odpt.StationTimetable:JR-East.ChuoRapid.Shinjuku.Inbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Shinjuku.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.ChuoRapid.Shinjuku.Outbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Shinjuku.Outbound.SaturdayHoliday']",JC,5
urn:ucode:_00001C000000000000010000031027F6,odpt:Station,2020-05-07T09:00:00+09:00,http://vocab.odpt.org/context_odpt.jsonld,中野,odpt.Station:JR-East.ChuoRapid.Nakano,odpt.Railway:JR-East.ChuoRapid,odpt.Operator:JR-East,"{'en': 'Nakano', 'ja': '中野'}","['odpt.Railway:JR-East.ChuoSobuLocal', 'odpt.Railway:TokyoMetro.Tozai']",JC006,['odpt.PassengerSurvey:JR-East.Nakano'],35.70573,139.66593999999998,"['odpt.StationTimetable:JR-East.ChuoRapid.Nakano.Inbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Nakano.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.ChuoRapid.Nakano.Outbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Nakano.Outbound.SaturdayHoliday']",JC,6
urn:ucode:_00001C000000000000010000031027F7,odpt:Station,2020-05-07T09:00:00+09:00,http://vocab.odpt.org/context_odpt.jsonld,高円寺,odpt.Station:JR-East.ChuoRapid.Koenji,odpt.Railway:JR-East.ChuoRapid,odpt.Operator:JR-East,"{'en': 'Koenji', 'ja': '高円寺'}",['odpt.Railway:JR-East.ChuoSobuLocal'],JC007,['odpt.PassengerSurvey:JR-East.Koenji'],35.70518,139.64955,"['odpt.StationTimetable:JR-East.ChuoRapid.Koenji.Inbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Koenji.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.ChuoRapid.Koenji.Outbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Koenji.Outbound.SaturdayHoliday']",JC,7
urn:ucode:_00001C000000000000010000031027F8,odpt:Station,2020-05-07T09:00:00+09:00,http://vocab.odpt.org/context_odpt.jsonld,阿佐ケ谷,odpt.Station:JR-East.ChuoRapid.Asagaya,odpt.Railway:JR-East.ChuoRapid,odpt.Operator:JR-East,"{'en': 'Asagaya', 'ja': '阿佐ケ谷'}",['odpt.Railway:JR-East.ChuoSobuLocal'],JC008,['odpt.PassengerSurvey:JR-East.Asagaya'],35.70462,139.63566,"['odpt.StationTimetable:JR-East.ChuoRapid.Asagaya.Inbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Asagaya.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.ChuoRapid.Asagaya.Outbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Asagaya.Outbound.SaturdayHoliday']",JC,8
urn:ucode:_00001C000000000000010000031027F9,odpt:Station,2020-05-07T09:00:00+09:00,http://vocab.odpt.org/context_odpt.jsonld,荻窪,odpt.Station:JR-East.ChuoRapid.Ogikubo,odpt.Railway:JR-East.ChuoRapid,odpt.Operator:JR-East,"{'en': 'Ogikubo', 'ja': '荻窪'}","['odpt.Railway:JR-East.ChuoSobuLocal', 'odpt.Railway:TokyoMetro.Marunouchi']",JC009,['odpt.PassengerSurvey:JR-East.Ogikubo'],35.70434,139.62011,"['odpt.StationTimetable:JR-East.ChuoRapid.Ogikubo.Inbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Ogikubo.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.ChuoRapid.Ogikubo.Outbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.Ogikubo.Outbound.SaturdayHoliday']",JC,9
urn:ucode:_00001C000000000000010000031027FA,odpt:Station,2020-05-07T09:00:00+09:00,http://vocab.odpt.org/context_odpt.jsonld,西荻窪,odpt.Station:JR-East.ChuoRapid.NishiOgikubo,odpt.Railway:JR-East.ChuoRapid,odpt.Operator:JR-East,"{'en': 'Nishi-Ogikubo', 'ja': '西荻窪'}",['odpt.Railway:JR-East.ChuoSobuLocal'],JC010,['odpt.PassengerSurvey:JR-East.NishiOgikubo'],35.70350999999999,139.59928,"['odpt.StationTimetable:JR-East.ChuoRapid.NishiOgikubo.Inbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.NishiOgikubo.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.ChuoRapid.NishiOgikubo.Outbound.Weekday', 'odpt.StationTimetable:JR-East.ChuoRapid.NishiOgikubo.Outbound.SaturdayHoliday']",JC,10
