dc:title,owl:sameAs,odpt:lineCode
空港線,odpt.Railway:Keikyu.Airport,KK
大師線,odpt.Railway:Keikyu.Daishi,KK
久里浜線,odpt.Railway:Keikyu.Kurihama,KK
京急本線,odpt.Railway:Keikyu.Main,KK
東京さくらトラム（都電荒川線）,odpt.Railway:Toei.Arakawa,SA
逗子線,odpt.Railway:Keikyu.Zushi,KK
浅草線,odpt.Railway:Toei.Asakusa,A
三田線,odpt.Railway:Toei.Mita,I
日暮里・舎人ライナー,odpt.Railway:Toei.NipporiToneri,NT
大江戸線,odpt.Railway:Toei.Oedo,E
新宿線,odpt.Railway:Toei.Shinjuku,S
りんかい線,odpt.Railway:TWR.Rinkai,R
グリーンライン,odpt.Railway:YokohamaMunicipal.Green,G
ブルーライン,odpt.Railway:YokohamaMunicipal.Blue,B
小田原線,odpt.Railway:Odakyu.Odawara,
東武スカイツリーライン(押上-曳舟),odpt.Railway:Tobu.TobuSkytreeBranch,TS
東武スカイツリーライン,odpt.Railway:Tobu.TobuSkytree,TS
東上線,odpt.Railway:Tobu.Tojo,TJ
井の頭線,odpt.Railway:Keio.Inokashira,
京王新線,odpt.Railway:Keio.KeioNew,
京王線,odpt.Railway:Keio.Keio,
相模原線,odpt.Railway:Keio.Sagamihara,
高尾線,odpt.Railway:Keio.Takao,
池袋線,odpt.Railway:Seibu.Ikebukuro,SI
西武秩父線,odpt.Railway:Seibu.SeibuChichibu,SI
西武有楽町線,odpt.Railway:Seibu.SeibuYurakucho,SI
新宿線,odpt.Railway:Seibu.Shinjuku,SS
多摩川線,odpt.Railway:Seibu.Tamagawa,SW
ゆりかもめ,odpt.Railway:Yurikamome.Yurikamome,U
中央・総武各駅停車,odpt.Railway:JR-East.ChuoSobuLocal,JB
京成本線,odpt.Railway:Keisei.Main,KS
成田スカイアクセス線,odpt.Railway:Keisei.NaritaSkyAccess,
押上線,odpt.Railway:Keisei.Oshiage,KS
中央線快速,odpt.Railway:JR-East.ChuoRapid,JC
中央本線,odpt.Railway:JR-East.Chuo,
常磐線快速,odpt.Railway:JR-East.JobanRapid,
常磐線各駅停車,odpt.Railway:JR-East.JobanLocal,JL
京浜東北線・根岸線,odpt.Railway:JR-East.KeihinTohokuNegishi,JK
京葉線,odpt.Railway:JR-East.Keiyo,
武蔵野線,odpt.Railway:JR-East.Musashino,JM
南武線浜川崎支線,odpt.Railway:JR-East.NambuBranch,JN
南武線,odpt.Railway:JR-East.Nambu,JN
成田線空港支線,odpt.Railway:JR-East.NaritaAirportBranch,JO
成田線,odpt.Railway:JR-East.Narita,
青梅線,odpt.Railway:JR-East.Ome,JC
総武本線,odpt.Railway:JR-East.Sobu,
埼京線・川越線,odpt.Railway:JR-East.SaikyoKawagoe,
湘南新宿ライン,odpt.Railway:JR-East.ShonanShinjuku,JS
総武快速線,odpt.Railway:JR-East.SobuRapid,JO
相鉄直通線,odpt.Railway:JR-East.SotetsuDirect,
高崎線,odpt.Railway:JR-East.Takasaki,
東海道線,odpt.Railway:JR-East.Tokaido,
上野東京ライン,odpt.Railway:JR-East.UenoTokyo,
宇都宮線,odpt.Railway:JR-East.Utsunomiya,
山手線,odpt.Railway:JR-East.Yamanote,JY
横浜線,odpt.Railway:JR-East.Yokohama,JH
JR直通線,odpt.Railway:Sotetsu.JRDirect,SO
横須賀線,odpt.Railway:JR-East.Yokosuka,JO
世田谷線,odpt.Railway:Tokyu.Setagaya,SG
田園都市線,odpt.Railway:Tokyu.DenEnToshi,DT
池上線,odpt.Railway:Tokyu.Ikegami,IK
目黒線,odpt.Railway:Tokyu.Meguro,MG
大井町線,odpt.Railway:Tokyu.Oimachi,OM
東急多摩川線,odpt.Railway:Tokyu.TokyuTamagawa,TM
東横線,odpt.Railway:Tokyu.Toyoko,TY
いずみ野線,odpt.Railway:Sotetsu.Izumino,SO
相鉄本線,odpt.Railway:Sotetsu.Main,SO
千代田線,odpt.Railway:TokyoMetro.Chiyoda,C
副都心線,odpt.Railway:TokyoMetro.Fukutoshin,F
銀座線,odpt.Railway:TokyoMetro.Ginza,G
半蔵門線,odpt.Railway:TokyoMetro.Hanzomon,Z
日比谷線,odpt.Railway:TokyoMetro.Hibiya,H
丸ノ内線支線,odpt.Railway:TokyoMetro.MarunouchiBranch,Mb
丸ノ内線,odpt.Railway:TokyoMetro.Marunouchi,M
南北線,odpt.Railway:TokyoMetro.Namboku,N
東西線,odpt.Railway:TokyoMetro.Tozai,T
有楽町線,odpt.Railway:TokyoMetro.Yurakucho,Y
